Title,Description,Author,Year,MonthDay,Link,ImageLink
Python Tutorial :#2 Python Vs Java,"As we know Python and Java, Both the languages are powerful and both the languages provide many great frameworks. But the question is when to use which language? So, in",Supriya,2022,Mar 10,https://www.opencodez.com/python/python-tutorial-2-python-vs-java.htm,https://www.opencodez.com/wp-content/uploads/2022/03/python-vs-java-150x100.png
Python Tutorial : #1 Introduction to Python,Python is a most popular programming language which was created by Guido van Rossum and python is the successor of the ABC programming language. We will cover a brief Introduction,Supriya,2022,Feb 20,https://www.opencodez.com/python/python-tutorial-1-introduction-to-python.htm,https://www.opencodez.com/wp-content/uploads/2022/02/Python-150x100.jpg
Chain of Responsibility – Behavioral Design Pattern,"The Chain of Responsibility Pattern comes under Behavioral design pattern, the main motive of this pattern is to accomplish loose coupling in Software design process where the client request is",Supriya,2020,Aug 1,https://www.opencodez.com/java/chain-of-responsibility-pattern.htm,https://www.opencodez.com/wp-content/uploads/2020/08/Java-Design-Patterns-150x100.png
Flyweight Pattern – Structural Design Pattern,Flyweight pattern comes under Structural Design Patterns. By using this pattern we can decrease object count. When there is a need to create huge amount of similar objects then this,Supriya,2020,May 20,https://www.opencodez.com/java/flyweight-pattern.htm,https://www.opencodez.com/wp-content/uploads/2020/05/Flyweight-Pattern-Java-Design-Patterns-150x100.png
What Is Full Stack QA or Tester? 4 Steps Guide For Beginners,"We have always heard the term full-stack developer but what about someone from QA background? Do we also have something like Full Stack QA Engineer? the answer is Yes! So,",Shilpa,2020,May 18,https://www.opencodez.com/software-testing/become-full-stack-qa-engineer.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Full-Stack-Developer-200x200.jpeg
Recession 2020 -7 Highly Effective Ways IT Professionals Can Prepare,"Many say that another wave of Recession is approaching. On the internet, you will find several articles talking about an upcoming recession. I am not an economic expert, but the",Shilpa,2020,Apr 27,https://www.opencodez.com/it-lifestyle/7-highly-effective-ways-professionals-can-prepare-recession.htm,https://www.opencodez.com/wp-content/uploads/2020/04/Untitled-drawing1.png
10 Productivity Tips For Working From Home (WFH) – Practical To Follow,"It’s been more than 5 years, I am working from home (WFH) now. After the birth of my daughter, I was blessed to get this opportunity to WFH and at",Shilpa,2020,Mar 30,https://www.opencodez.com/it-lifestyle/10-productivity-tips-for-working-from-home.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Untitled-drawing-4.png
Complete Step by Step Guide of Gherkin for Beginners,"Gherkin is a plain English text language, used by BDD (Behavior Driven Development) tool ‘Cucumber‘ to define and execute the test scripts. 1. What is BDD? BDD (Behavior Driven Development)",Pritam,2020,Mar 22,https://www.opencodez.com/software-testing/complete-step-step-guide-gherkin-beginners.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Untitled-drawing-3.png
Top 8 Most Commonly asked HR Interview Questions With Answers,"There are some questions that are frequently asked during Human Resource interviews. As an IT professional, these HR Interview Questions may appear not so important as technical questions, but in",Shilpa,2020,Mar 21,https://www.opencodez.com/how-to-guide/the-8-most-commonly-asked-hr-interview-questions.htm,https://www.opencodez.com/wp-content/uploads/2020/03/HR-Interview-Questions-200x200.png
7 Free Testing Artifacts / Deliverables Template To Download,"Testing Artifacts are deliverables or documents prepared during the testing process. These documents are shared at different stages of Testing with different stakeholders like clients, Test Managers, Team members, and",Shilpa,2020,Mar 19,https://www.opencodez.com/software-testing/free-testing-artifacts-deliverables-template-to-download.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Testing-Artifacts-200x200.png
"What is Test Case (TC), Examples with Free Template To Download",Test Case (TC) is the most important document prepared in testing activities. It is the base for testing an application. So make sure it is reviewed by all respective stakeholders,Shilpa,2020,Mar 16,https://www.opencodez.com/software-testing/test-cases-with-examples-free-test-case-template-to-download.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Case_F.png
What is Test Data? Examples with Free Template to Download,Test data plays an important role in executing test cases. Designing appropriate data is one of the main tasks of application testing. What is Test Data? Test data is a,Shilpa,2020,Mar 12,https://www.opencodez.com/software-testing/test-data.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Data-2-200x200.png
"What is Test Scenario? Template with Examples,Difference Between Test Scenario and Test Case","For Testers, Test Scenario is not new, but many testing professionals are still vague about this concept. So, what is a Test Scenario? Why we create it? How to create",Shilpa,2020,Mar 10,https://www.opencodez.com/software-testing/what-is-test-scenario-template-with-examples.htm,https://www.opencodez.com/wp-content/uploads/2020/03/Test-Scenario_Featured1-200x200.png
Top 10 ETL Testing Tools to Watch in 2020,"ETL Testing has a lot of demand in the market all the time. ETL Testers are paid better than Manual/ Functional ones. So, those who are interested in Database /SQL",Shilpa,2020,Mar 4,https://www.opencodez.com/software-testing/top-10-etl-testing-tools.htm,https://www.opencodez.com/wp-content/uploads/2020/03/ETL-Testing-Tools-3.png
XPath for Web Scraping with R – Detailed Step by Step Guide,"We have already learned about Web Scraping Technology in our previous post Web Scraping Using Beautiful Soup in Python. In addition to that, a learner/developer might also be interested in",Rounak,2020,Mar 1,https://www.opencodez.com/how-to-guide/how-to-use-xpath-for-web-scraping-with-r.htm,https://www.opencodez.com/wp-content/uploads/2020/03/How-to-use-XPath-for-Web-Scraping-with-R.png
